Ticker,Date/Time,Open,High,Low,Close,Volume
CTD,6/13/2019 0:00,73.01,73.29,71.91,71.91,34220
CTD,6/14/2019 0:00,70.67,71.91,70.32,70.53,46850
CTD,6/17/2019 0:00,70.32,70.32,67.64,68.33,123460
CTD,6/18/2019 0:00,68.33,68.81,66.6,66.74,88410
CTD,6/19/2019 0:00,66.88,67.71,66.88,67.22,43540
CTD,6/20/2019 0:00,67.29,67.91,66.88,66.88,91960
CTD,6/21/2019 0:00,66.88,67.36,66.67,67.22,39220
CTD,6/24/2019 0:00,67.57,67.57,66.88,67.57,74580
CTD,6/25/2019 0:00,67.57,71.57,67.29,70.32,178200
CTD,6/26/2019 0:00,70.32,71.01,69.64,70.6,110460
CTD,6/27/2019 0:00,70.6,71.01,70.32,70.39,115140
CTD,6/28/2019 0:00,70.46,73.77,69.64,73.77,126550
CTD,7/1/2019 0:00,73.77,73.77,71.7,72.19,63670
CTD,7/2/2019 0:00,72.19,72.19,71.36,72.12,94730
CTD,7/3/2019 0:00,72.12,73.7,71.08,73.63,155350
CTD,7/4/2019 0:00,73.63,74.46,73.63,73.77,49210
CTD,7/5/2019 0:00,73.77,73.77,72.46,72.53,33360
CTD,7/8/2019 0:00,71.15,73.01,71.01,71.91,70700
CTD,7/9/2019 0:00,71.91,72.6,71.5,71.98,127390
CTD,7/10/2019 0:00,71.98,73.77,71.98,73.77,211110
CTD,7/11/2019 0:00,73.77,75.15,73.77,74.81,200600
CTD,7/12/2019 0:00,75.77,76.53,75.01,76.39,221280
CTD,7/15/2019 0:00,76.67,76.67,75.01,76.12,145770
CTD,7/16/2019 0:00,76.12,76.87,75.08,76.12,156830
CTD,7/17/2019 0:00,76.12,77.7,75.56,77.56,218700
CTD,7/18/2019 0:00,72.19,76.87,72.19,76.53,547610
CTD,7/19/2019 0:00,76.87,77.5,76.32,76.6,227760
CTD,7/22/2019 0:00,76.6,77.22,74.32,77.22,102610
CTD,7/23/2019 0:00,77.22,77.36,75.84,77.36,160780
CTD,7/24/2019 0:00,76.19,77.56,75.84,77.56,136650
CTD,7/25/2019 0:00,76.53,77.91,76.32,77.91,249630
CTD,7/26/2019 0:00,77.91,77.91,76.53,77.7,128980
CTD,7/29/2019 0:00,77.7,79.29,75.98,79.29,239330
CTD,7/30/2019 0:00,76.87,79.15,76.87,78.6,130000
CTD,7/31/2019 0:00,77.22,77.91,76.94,77.91,68120
CTD,8/1/2019 0:00,77.56,77.56,76.53,77.22,69550
CTD,8/2/2019 0:00,76.53,77.91,76.12,77.91,133760
CTD,8/5/2019 0:00,77.22,79.29,77.22,79.29,254120
CTD,8/6/2019 0:00,77.7,77.91,76.53,77.91,135420
CTD,8/7/2019 0:00,77.91,77.91,75.91,75.91,33180
CTD,8/8/2019 0:00,76.19,77.22,72.39,73.77,35170
CTD,8/9/2019 0:00,73.77,74.46,72.53,72.6,40710
CTD,8/12/2019 0:00,73.77,73.77,70.32,70.32,45220
CTD,8/13/2019 0:00,69.98,69.98,67.64,68.39,59290
CTD,8/14/2019 0:00,70.67,70.67,68.26,70.32,40500
CTD,8/15/2019 0:00,68.95,70.32,68.95,70.26,33300
CTD,8/16/2019 0:00,70.32,70.95,69.22,70.32,33120
CTD,8/19/2019 0:00,70.6,71.01,70.12,71.01,27580
CTD,8/20/2019 0:00,70.74,71.01,70.12,70.12,48640
CTD,8/21/2019 0:00,70.12,70.95,69.64,70.26,32950
CTD,8/22/2019 0:00,70.12,70.12,68.95,68.95,41480
CTD,8/23/2019 0:00,68.95,68.95,68.46,68.88,33310
CTD,8/26/2019 0:00,68.88,68.88,66.88,66.88,57580
CTD,8/27/2019 0:00,66.95,67.57,66.88,66.88,30890
CTD,8/28/2019 0:00,67.22,67.22,66.74,67.08,18070
CTD,8/29/2019 0:00,66.88,66.95,66.46,66.46,18370
CTD,8/30/2019 0:00,66.88,66.88,65.15,65.29,31350
CTD,9/3/2019 0:00,65.29,66.19,64.67,64.67,22350
CTD,9/4/2019 0:00,64.12,64.12,62.12,63.29,55910
CTD,9/5/2019 0:00,63.43,64.81,63.43,63.78,41650
CTD,9/6/2019 0:00,64.12,67.91,64.12,66.88,66850
CTD,9/9/2019 0:00,66.88,68.95,66.88,66.95,36720
CTD,9/10/2019 0:00,66.95,68.53,66.19,66.19,40250
CTD,9/11/2019 0:00,66.4,66.4,64.46,65.15,21870
CTD,9/12/2019 0:00,64.88,66.19,64.88,65.22,22740
CTD,9/13/2019 0:00,64.88,66.19,64.81,65.84,29140
CTD,9/16/2019 0:00,66.53,66.53,65.84,66.19,15200
CTD,9/17/2019 0:00,66.19,67.02,66.19,66.88,24140
CTD,9/18/2019 0:00,67.57,67.84,66.53,66.95,34930
CTD,9/19/2019 0:00,66.95,67.57,66.88,66.88,35190
CTD,9/20/2019 0:00,67.57,68.12,67.08,67.64,35520
CTD,9/23/2019 0:00,67.64,68.6,67.22,68.26,22490
CTD,9/24/2019 0:00,68.46,68.88,66.67,66.67,49180
CTD,9/25/2019 0:00,68.26,68.26,67.22,68.26,40580
CTD,9/26/2019 0:00,68.97,69.68,68.26,68.47,51010
CTD,9/27/2019 0:00,69.25,69.25,64.7,67.83,40730
CTD,9/30/2019 0:00,65.84,68.26,65.84,67.55,30400
CTD,10/1/2019 0:00,67.55,67.55,65.77,66.83,48600
CTD,10/2/2019 0:00,66.55,66.83,66.12,66.12,27640
CTD,10/3/2019 0:00,66.12,66.12,65.41,65.84,34830
CTD,10/4/2019 0:00,66.98,66.98,64.84,64.84,40930
CTD,10/7/2019 0:00,65.98,66.98,64.84,64.84,25110
CTD,10/8/2019 0:00,64.84,65.7,64.42,64.42,28080
CTD,10/9/2019 0:00,64.49,64.7,63.99,63.99,50550
CTD,10/10/2019 0:00,63.99,64.27,63.85,63.85,34060
CTD,10/11/2019 0:00,63.99,65.41,63.85,63.99,58730
CTD,10/14/2019 0:00,63.99,64.42,63.85,63.85,50540
CTD,10/15/2019 0:00,63.99,63.99,63.14,63.85,37640
CTD,10/16/2019 0:00,64.35,64.35,63.28,63.28,51230
CTD,10/17/2019 0:00,63.28,63.35,62.57,62.57,41340
CTD,10/18/2019 0:00,62.28,62.92,61.86,62.07,30990
CTD,10/21/2019 0:00,62.07,62.28,60.93,60.93,59120
CTD,10/22/2019 0:00,58.3,59.72,58.3,58.87,110200
CTD,10/23/2019 0:00,59.72,59.72,58.87,59.01,19560
CTD,10/24/2019 0:00,59.01,59.44,58.87,59.23,33160
CTD,10/25/2019 0:00,59.23,59.23,58.16,58.3,54570
CTD,10/28/2019 0:00,58.3,58.52,56.53,56.53,70950
CTD,10/29/2019 0:00,56.17,56.88,55.81,55.96,95440
CTD,10/30/2019 0:00,55.53,56.88,55.53,56.38,32120
CTD,10/31/2019 0:00,56.24,56.88,56.03,56.17,23400
CTD,11/1/2019 0:00,56.1,56.1,54.11,54.11,157030
CTD,11/4/2019 0:00,54.04,54.32,52.97,52.97,163130
CTD,11/5/2019 0:00,52.97,54.25,52.83,52.97,285990
CTD,11/6/2019 0:00,52.97,53.75,52.97,53.4,146890
CTD,11/7/2019 0:00,53.68,53.89,53.33,53.33,91940
CTD,11/8/2019 0:00,53.82,53.89,52.97,52.97,63590
CTD,11/11/2019 0:00,52.97,53.33,51.9,51.9,64860
CTD,11/12/2019 0:00,52.33,52.47,50.69,50.69,148330
CTD,11/13/2019 0:00,50.69,51.9,49.77,49.91,156900
CTD,11/14/2019 0:00,49.63,49.84,48.35,49.06,118100
CTD,11/15/2019 0:00,49.06,49.06,48.42,48.99,65480
CTD,11/18/2019 0:00,48.49,51.55,48.49,50.27,115510
CTD,11/19/2019 0:00,50.84,51.48,50.27,50.48,89730
CTD,11/20/2019 0:00,51.05,51.05,49.98,50.41,28290
CTD,11/21/2019 0:00,50.2,50.41,48.35,48.35,92320
CTD,11/22/2019 0:00,48.78,48.99,46.36,46.64,152570
CTD,11/25/2019 0:00,46.22,48.7,46.22,47.42,52850
CTD,11/26/2019 0:00,47.42,48.49,47.42,47.42,22560
CTD,11/27/2019 0:00,47.71,47.85,47.14,47.14,17780
CTD,11/28/2019 0:00,47,47.5,45.5,45.5,86060
CTD,11/29/2019 0:00,45.5,46.14,44.58,45.15,82730
CTD,12/2/2019 0:00,45.15,45.29,44.65,44.79,50170
CTD,12/3/2019 0:00,44.08,44.94,44.08,44.44,93620
CTD,12/4/2019 0:00,44.72,44.72,44.3,44.44,53540
CTD,12/5/2019 0:00,44.3,46.22,44.3,45.29,33220
CTD,12/6/2019 0:00,45.29,47.35,44.94,46.5,57440
CTD,12/9/2019 0:00,46.86,47.28,45.65,45.79,62930
CTD,12/10/2019 0:00,45.58,46.07,44.65,44.65,45690
CTD,12/11/2019 0:00,44.44,44.79,43.87,44.44,31500
CTD,12/12/2019 0:00,44.51,45.43,43.87,44.79,14330
CTD,12/13/2019 0:00,44.79,45.15,44.01,44.08,50710
CTD,12/16/2019 0:00,44.08,44.72,43.73,44.72,20880
CTD,12/17/2019 0:00,44.72,45.08,44.01,44.01,20670
CTD,12/18/2019 0:00,44.08,44.65,43.87,43.87,23980
CTD,12/19/2019 0:00,43.8,44.08,43.37,43.37,41820
CTD,12/20/2019 0:00,43.23,43.94,41.24,41.24,118740
CTD,12/23/2019 0:00,41.24,41.38,39.6,39.6,100300
CTD,12/24/2019 0:00,39.46,39.53,37.68,37.75,134890
CTD,12/25/2019 0:00,37.75,40.1,37.33,39.46,128320
CTD,12/26/2019 0:00,39.75,39.82,38.89,39.25,60090
CTD,12/27/2019 0:00,39.25,39.25,38.32,38.32,70710
CTD,12/30/2019 0:00,38.18,38.18,37.4,37.61,109630
CTD,12/31/2019 0:00,37.61,37.61,36.26,36.47,119970
CTD,1/2/2020 0:00,36.47,38.54,36.47,37.54,123270
CTD,1/3/2020 0:00,38.11,38.96,37.9,37.9,135390
CTD,1/6/2020 0:00,37.68,37.75,37.04,37.4,28890
CTD,1/7/2020 0:00,37.54,37.54,36.26,36.62,77310
CTD,1/8/2020 0:00,36.33,36.55,35.76,35.83,104260
CTD,1/9/2020 0:00,35.83,36.76,35.69,35.69,70230
CTD,1/10/2020 0:00,35.62,35.69,33.95,35.23,285310
CTD,1/13/2020 0:00,35.23,36.12,35.23,35.34,61630
CTD,1/14/2020 0:00,35.12,35.91,35.12,35.27,69340
CTD,1/15/2020 0:00,35.19,35.48,35.05,35.16,58970
CTD,1/16/2020 0:00,35.16,35.41,34.63,35.05,45110
CTD,1/17/2020 0:00,34.77,37.47,34.77,37.47,251890
CTD,1/20/2020 0:00,37.68,39.46,37.68,38.04,108300
CTD,1/21/2020 0:00,38.04,38.39,37.19,37.68,123630
CTD,1/22/2020 0:00,36.97,39.25,36.97,37.97,147520
CTD,1/30/2020 0:00,37.54,38.89,37.54,37.61,130320
CTD,1/31/2020 0:00,37.68,40.24,37.68,39.6,299400
CTD,2/3/2020 0:00,39.75,39.75,36.97,37.11,304180
CTD,2/4/2020 0:00,37.11,37.9,35.55,35.62,254790
CTD,2/5/2020 0:00,35.91,36.97,35.91,35.98,148880
CTD,2/6/2020 0:00,36.97,37.97,35.98,37.75,170980
CTD,2/7/2020 0:00,37.97,40.39,37.75,40.39,272130
CTD,2/10/2020 0:00,41.66,43.16,40.53,43.16,256350
CTD,2/11/2020 0:00,44.08,46.14,44.08,44.79,454660
CTD,2/12/2020 0:00,44.44,47.42,43.87,46.22,437870
CTD,2/13/2020 0:00,46,46.93,45.43,45.72,125260
CTD,2/14/2020 0:00,44.94,46.71,44.58,45.65,172420
CTD,2/17/2020 0:00,45.65,48.35,45.01,48.35,250230
CTD,2/18/2020 0:00,51.05,51.48,49.06,49.77,333580
CTD,2/19/2020 0:00,49.41,50.62,49.06,49.77,133290
CTD,2/20/2020 0:00,49.06,50.41,47.85,48.06,225110
CTD,2/21/2020 0:00,47.64,49.13,47,47.57,161430
CTD,2/24/2020 0:00,46.22,46.29,44.3,44.3,264160
CTD,2/25/2020 0:00,41.59,45.5,41.59,45.36,238120
CTD,2/26/2020 0:00,44.08,45.36,43.73,44.44,79240
CTD,2/27/2020 0:00,44.15,46.22,44.15,46.14,147910
CTD,2/28/2020 0:00,44.72,45.72,44.08,44.3,129600
CTD,3/2/2020 0:00,44.3,46.22,44.08,45.5,166400
CTD,3/3/2020 0:00,46.57,48.63,46.29,48.63,238760
CTD,3/4/2020 0:00,49.77,51.55,48.7,48.7,291500
CTD,3/5/2020 0:00,49.41,49.7,47.64,47.78,194510
CTD,3/6/2020 0:00,47.28,50.41,46.71,49.77,303280
CTD,3/9/2020 0:00,46.29,48.28,46.29,46.29,223240
CTD,3/10/2020 0:00,44.44,46.93,43.94,46.22,195980
CTD,3/11/2020 0:00,46.22,46.93,43.02,43.02,430810
CTD,3/12/2020 0:00,40.53,44.72,40.03,40.03,403670
CTD,3/13/2020 0:00,37.33,39.82,37.26,38.89,263780
CTD,3/16/2020 0:00,37.33,39.03,36.62,36.69,140480
CTD,3/17/2020 0:00,34.84,38.89,34.84,38.89,183630
CTD,3/18/2020 0:00,38.89,40.03,38.89,39.18,153030
CTD,3/19/2020 0:00,37.68,38.39,36.97,37.68,118400
CTD,3/20/2020 0:00,38.04,38.54,37.33,38.25,208660
CTD,3/23/2020 0:00,37.19,37.19,35.62,35.62,200910
CTD,3/24/2020 0:00,35.62,36.97,35.55,36.47,114070
CTD,3/25/2020 0:00,37.68,38.68,37.54,37.68,152310
CTD,3/26/2020 0:00,37.33,37.68,36.26,36.83,95830
CTD,3/27/2020 0:00,38.25,38.25,36.12,36.33,63030
CTD,3/30/2020 0:00,34.48,35.27,33.81,34.34,165000
CTD,3/31/2020 0:00,34.2,35.55,31.96,31.96,280350
CTD,4/1/2020 0:00,32,32.71,31.28,32.07,217950
CTD,4/3/2020 0:00,32.64,34.31,32.64,34.31,128520
CTD,4/6/2020 0:00,36.26,36.69,36.26,36.69,84890
